"name","group","element","units","context","S474041","S474045","S474048","S474051","S474055","S474063","S474067","S474074","S474082","S474093","S474104","S474114","S474125","S474134","S474146","S474156","S474043","S474044","S474047","S474050","S474053","S474057","S474064","S474069","S474075","S474084","S474094","S474103","S474113","S474123","S474133","S474143","S474153","S474042","S474046","S474049","S474052","S474056","S474066","S474070","S474077","S474087","S474097","S474105","S474117","S474124","S474135","S474144","S474155","S474054","S474068","S474073","S474083","S474095","S474106","S474118","S474129","S474137","S474147","S474058","S474076","S474086","S474096","S474107","S474122","S474132","S474142","S474150","S474062","S474071","S474081","S474088","S474099","S474109","S474119","S474127","S474140","S474152","S474059","S474072","S474085","S474098","S474108","S474116","S474128","S474139","S474151","S474060","S474080","S474089","S474092","S474102","S474112","S474121","S474131","S474141","S474149","S474061","S474078","S474091","S474101","S474111","S474120","S474130","S474138","S474148","S474065","S474079","S474090","S474100","S474110","S474115","S474126","S474136","S474145","S474154"
Lotus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,147,161,109,73,69,64,102,198,194,69,149,143,103,156,190,209,113,148,83,118,93,92,79,158,192,154,116,158,111,141,152,167,177,154,89,119,88,89,111,154,155,157,92,152,54,113,144,178,222,146,176,107,172,131,148,162,178,194,199,153,103,134,137,151,182,173,155,189,165,173,101,139,64,137,52,127,113,200,152,159,143,134,164,152,169,72,218,167,174,147,177,79,144,78,172,143,158,141,172,164,59,56,122,154,139,213,132,110,152,133,156,58,149,74,210,157
Lycopodium tablets,LABO,concentration,grains/tablet,,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542,12542
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lythrum,UPHE,pollen,NISP,,1,,1,1,,,,,,2,2,,1,,,,,,,,1,,1,,,,,,2,,1,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
Mougeotia,ALGA,spore,NISP,,,,,,,2,3,,,3,,,1,,,,,,,,,,4,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,
Myriophyllum spicatum,AQVP,pollen,NISP,,,,,,,,,1,,2,6,1,,2,1,,,,,,,,,,,3,,,1,,4,1,1,,,,,,,,3,,,7,5,2,5,,,,,1,2,,4,7,3,,,,2,2,,6,,,,2,,1,1,,,2,,,2,1,,,,,1,1,1,,2,,,1,,2,2,9,2,,1,,6,2,,2,11,2,,1,,9,2,2,5,1,,4,1,2
Myrtus,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,5,1,,,,,,,,3,1,1,,,,,,,,1,1,2,,,,
Nerium,TRSH,pollen,NISP,,1,,1,2,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,1,1,,
Olea,TRSH,pollen,NISP,,8,1,,,,,,,,,,,,,1,,3,,,2,,,,2,2,,,,2,,,,,6,1,,3,,,,,,,1,,,,2,,1,,,,,,,1,,,,2,,,1,3,,,3,1,,3,,,,1,,,1,,,,,,,,1,2,6,,,2,,,1,,1,1,9,,,2,,,1,,,,,,1,,,,,1,
Ononis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophioglossum,VACR,spore,NISP,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
Oribatida,ACAR,mandible,NISP,,,,,1,1,1,,,,,,,,2,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,3,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,
Phillyrea,TRSH,pollen,NISP,,4,2,,,,,,2,5,5,8,,,1,2,1,,7,,,,,,5,3,4,2,3,,,,,,4,,,,,,2,4,3,2,7,4,,,,,,,2,2,2,5,4,,,1,,3,2,,1,7,,,,,3,3,3,3,6,4,,,,1,2,4,5,3,,,,,,5,7,3,,,,,,,,5,4,,3,,,,1,1,6,2,2,5,3,,,2,1
Pinus,TRSH,pollen,NISP,,68,85,27,76,60,30,38,58,9,18,16,28,50,83,101,66,70,54,39,62,34,57,24,54,66,38,12,10,30,42,76,110,93,68,53,44,47,72,24,68,50,33,3,27,27,41,78,120,68,76,24,42,33,15,17,23,66,76,86,98,73,76,6,19,19,72,90,121,78,84,28,26,7,16,22,69,67,104,76,13,16,8,17,35,70,88,99,114,22,23,34,21,32,43,39,87,118,91,35,24,,35,45,76,97,113,78,36,4,5,28,17,48,69,79,85
Pistacia,TRSH,pollen,NISP,,3,3,1,2,7,8,4,8,15,14,11,2,6,1,1,,9,8,12,,4,5,7,7,8,8,2,11,11,7,8,,,2,8,9,2,8,1,7,3,5,5,19,7,,2,,,,3,6,3,,25,8,,4,,,6,11,1,8,10,2,1,,2,7,7,3,8,17,14,4,3,,,10,,5,19,13,9,,3,14,7,4,9,1,2,6,2,2,,9,8,8,2,7,14,13,2,,7,7,6,2,26,1,7,8,1,1
Plantago,UPHE,pollen,NISP,,12,8,12,3,3,5,1,,1,1,2,1,1,1,,,4,11,26,2,2,2,2,6,4,,1,2,1,,,,2,7,6,7,7,4,3,,3,,4,3,3,,,,,13,3,,4,,4,4,2,,1,12,1,,,4,5,,1,,12,2,,,3,1,,3,2,,7,3,,2,4,,,,,11,4,3,5,2,1,2,,1,3,7,1,1,5,,2,,,2,8,,2,,5,4,5,2,,3
Pluricellaesporites,FUNG,spore,NISP,,,21,12,8,39,1,,,,,3,6,6,,,,7,32,51,13,13,19,,,,6,3,,14,21,14,,,4,19,17,4,1,,,3,4,5,3,26,22,8,,,7,,,2,4,,25,3,11,,12,7,8,9,,33,17,,,29,,9,11,9,,4,4,4,,36,,9,,,7,21,6,,39,,,,3,18,11,7,,,11,,,7,,,17,,,51,8,,12,,16,9,3,,
Poaceae,UPHE,pollen,NISP,,22,31,38,16,29,31,19,28,49,19,39,44,26,31,10,15,33,43,24,32,37,54,9,37,47,14,22,27,63,49,56,13,9,38,39,23,27,16,18,23,35,22,30,33,24,19,52,29,18,47,8,18,12,31,31,34,49,26,21,56,34,52,16,31,35,57,31,10,66,51,25,44,21,34,23,22,13,11,35,23,34,29,20,32,34,17,12,50,33,32,32,61,25,22,18,25,4,61,31,32,12,36,49,34,18,22,22,28,40,49,29,31,18,36,18,12
Pollen concentration,LABO,total,NISP,,47254,28489.37,34365.85,57956.64,171316.5,97592.44,39552.39,18918.57,21722.23,58425.46,33540.3,59640.28,34351.11,24253.23,14805.22,4160.664,31216.26,33291.99,48786.44,24091.98,44841.02,88339.3,43951.31,27650.61,24262.8,21283.39,15377.17,23417.03,127841.2,34542.39,26168.46,19776.81,9242.446,25348.69,41068.51,27519.79,60334.62,64980.4,36345.43,23455.17,29476.59,21668.9,28798.89,29154.65,83613.34,24067.55,31645.32,15237.12,4559.994,29780.09,15487.47,27975.3,17500.46,26488.19,34236.27,39484.07,21666.66,12701.72,10825.49,29317.71,48532.84,32758.96,17821.24,27409.67,33607.89,25477.56,20229.03,9345.67,30989.56,22812.42,32286.34,23121.49,37349.34,36863.11,79754.26,28483.28,20929.76,8361.333,30883.5,20403.76,20113.98,28223.1,25641.82,42081.71,19451.62,36331.98,8454.719,32481.53,21212.25,24636.07,25618.17,85095.09,34548.57,52526.32,18229.65,15677.5,12549.56,39011.09,30625.81,21508.77,67670.11,119311.9,68364.18,26977.52,16467.01,10970.76,29518.04,38766.18,26785.04,30984.53,38590.77,72945.42,23303.04,36439.59,10591.02,8435.893
Polyadosporites,FUNG,spore,NISP,,,63,54,27,99,43,19,9,,6,,,11,29,,,54,44,57,29,93,39,23,,,6,1,,8,3,44,,,67,54,42,29,41,23,,,6,23,,6,44,16,,,102,2,7,,12,,6,41,27,,64,,,20,,1,29,,,128,,,7,12,,18,35,8,,67,4,,21,,9,4,7,,63,,,,9,1,5,8,,,76,,,21,7,1,6,,,50,,,22,,9,17,16,,
Polygonum,UPHE,pollen,NISP,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,6,,,1,,,,,,,,,,,,,,,,1,,,2,1,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Polypodium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potamogeton,AQVP,pollen,NISP,,,,,2,1,,,9,5,5,7,7,4,6,3,3,,,,,,2,,2,13,10,,12,2,13,,2,7,,,,,,,1,9,9,3,11,12,3,3,7,1,,1,2,3,,13,10,2,4,6,,12,3,1,6,4,1,1,7,,5,3,6,2,17,11,4,4,10,,11,6,,5,9,11,,13,,13,1,7,6,9,8,9,,11,,11,9,1,12,17,6,,8,,8,5,1,15,7,4,,4,5
Prunus-type,TRSH,pollen,NISP,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudoschizaea,ACRI,palynomorph,NISP,,,11,12,2,11,,,,,,,,,,,,6,13,10,3,4,13,,,,,,,,,,,,4,24,,12,7,,,,,,,,,,,,26,,,,,,,,,,23,,,,,,,,,3,,,,,,,,,,21,,,,,,,,,16,,,,,,,,,,48,,,,,,,,,6,,,,,,,,,
Pteridophyta,VACR,spore,NISP,,,1,1,4,3,2,1,,3,6,4,1,12,1,1,,3,2,,1,6,,11,1,,,,,3,,,,,1,,1,4,7,12,,,3,1,,,20,1,,,2,,,,1,,,4,1,,1,,8,12,,,2,,2,1,,2,,1,3,,1,,,1,1,,2,,,1,,,2,3,,1,6,,,2,,,,,7,,1,,1,,5,2,,,3,,1,7,,,
Pteridophyta (monolete),VACR,spore,NISP,,,,1,4,3,1,1,,,,4,,12,,1,,2,2,,1,4,,11,1,,,,,,,,,,1,,1,4,4,12,,,,,,,20,1,,,2,,,,,,,1,,,,,,12,,,1,,2,,,,,1,3,,,,,,,,1,,,1,,,1,,,,6,,,,,,,,,,,,,,5,1,,,3,,,7,,,
Puccinia,FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Quercus (deciduous),TRSH,pollen,NISP,,4,,7,1,7,34,31,24,65,41,26,63,58,13,,1,3,6,3,7,6,17,36,32,13,31,29,38,106,49,6,1,,,2,7,4,10,24,34,41,38,29,19,71,53,2,1,,1,19,29,32,32,29,66,69,7,,,39,42,31,48,77,16,2,,2,14,27,35,27,39,79,67,6,,,48,42,32,32,109,74,5,1,3,38,47,44,34,43,58,66,1,1,1,42,41,31,46,157,77,6,,5,53,45,24,29,64,62,6,,
Quercus (evergreen),TRSH,pollen,NISP,,112,8,62,31,67,65,47,56,68,76,58,46,17,10,3,,8,29,31,29,46,69,57,34,49,42,40,80,59,19,26,,1,7,26,69,39,77,53,42,76,53,45,61,26,9,21,,,15,49,43,54,51,52,31,9,16,,12,58,48,40,76,78,24,,,9,30,50,47,34,67,27,26,12,,12,52,38,41,80,37,4,15,,12,41,46,47,76,51,13,23,,2,1,46,69,43,74,36,12,3,,12,53,52,54,54,57,19,12,,1
Ranunculaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,2,,,,,,1,1,,,,,,,1,,1,,,,,,1,1,1,,,,1,,,,1,,1,1,1,,,,,,,,,,3,1,,,,1,,1,1,1,,,,,1,,,,1,,,,,,,6,1,1,1,,,,,,,1,,1,2
Rhamnus,TRSH,pollen,NISP,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,10,1,,,,3,2,,,,,4,1,,,,,,,,3,1,,,,,,,,,,1,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizopoda,TEAM,test,NISP,,,1,1,4,,4,,,,1,1,,1,,,,2,,,4,12,,8,,,,7,,,,3,,,,2,2,3,7,8,,,,1,,,,,,,2,,,,3,,,,,,5,,,5,,,3,,,,,,,1,,,,,,1,,,12,,,,,,3,,,,1,,,,,,,,,8,,,,,,1,,,1,,,,,,
Rivularia,ALGA,palynomorph,NISP,,,1,,,,6,,,,,,,,1,1,,,,,,,,1,,,,1,,,,1,3,,,,,,1,,,,,7,,1,,,,,,,,,1,,1,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Rumex conglomeratus-type,UPHE,pollen,NISP,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,,,,,,,,,,,7,12,1,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,1,9,,,,,,,,,,4,7,,,,,,,,1,3,,,,,,,,,4,,12,,,,,,,3,,,,,,,,,,4,2,,,,,,,,7,,11,,,,,,,7,4,11,1,,
Sample quantity,LABO,mass,g,,1.3,1.4,1.5,1.5,0.8,1,1.2,1.5,1.5,1.4,1.3,0.8,1.9,1.2,1.4,3,1.6,1.4,1.4,1.8,1.6,1,1.9,1.2,1.4,1.5,1.8,1.6,0.7,1.2,1.4,1.2,2.3,1.6,1.4,1.8,1.2,1.8,1.2,1.5,1.4,1.6,1.6,1.5,1.5,1.9,1.2,1.6,2.8,1.5,1.5,1.5,1.5,1.2,1.5,1.2,1.6,1.7,1.7,1.7,1.4,1.6,1.5,1.6,1.3,1.4,1.2,2.4,1.3,1.5,1.4,1.6,1.7,1.5,1.5,1.9,1.4,2.4,1.4,1.5,1.5,1.3,1.7,1.2,1.9,1.4,2.3,1.6,1.4,1.6,1.3,1,1.2,1.2,1.6,1.6,2.1,1.4,1.2,1.6,1.2,1.1,1.2,1.6,1.6,1.9,1.5,1.4,1.3,1.4,1.5,1.5,1.9,1.6,1.5,2.5
Sanguisorba,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginella denticulata,VACR,spore,NISP,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
Solanaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorbus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sordariaceae,FUNG,spore,NISP,,3,,8,2,19,,,,,,,,2,,,,7,3,6,5,,12,,,,,8,,,,,,,13,5,3,7,13,1,,,,1,,,,1,,,35,,,,2,,,,12,,4,,,1,,,12,,,41,,,,11,,,,1,,12,,,,,,5,1,,1,,1,,2,,,3,,,4,,,7,,,6,,,12,,,4,,,3,,,
Sparganium,AQVP,pollen,NISP,,,,,2,,,1,,,,,,,,2,,,,,,,,,1,2,,,1,,,3,,,,,,,4,,,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,2,,1,,,,,,,,,,,2,2,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,
Spermatophyta undiff. (aquatics),AQVP,pollen,NISP,,,,,2,1,,,10,5,7,13,9,6,8,5,4,,,,,,2,,2,13,13,,13,6,13,4,3,11,,,,,,,1,12,9,3,18,17,5,10,7,2,,1,3,5,,17,18,8,6,6,,14,5,1,13,4,1,2,12,,6,4,6,2,20,11,6,6,15,,11,6,,7,11,12,,20,,13,2,7,8,11,17,14,,14,,17,11,1,15,29,8,,10,,17,7,3,24,8,5,7,5,9
Spirogyra (psilate),ALGA,filament/cell,NISP,,,,1,,,12,7,2,,,1,,14,3,1,,,,,2,,13,3,3,,,8,,,9,,,,1,,,2,12,10,2,,,8,,2,,,,,,4,1,,14,,9,,11,,,2,,7,,2,1,,,1,2,3,3,24,,3,5,2,,,3,,14,,3,3,12,,2,,,,4,,,,1,,,4,,16,,,1,,,1,,6,9,,,16,,2,
Tetraëdron cf. T. minimum,ALGA,filament/cell,NISP,,,,,2,2,8,6,,1,9,,1,11,3,,,,,,4,4,3,,2,1,,,,,23,7,3,,,,,2,8,7,2,,,8,1,7,,,,,,3,1,,10,4,5,,5,,,,1,,1,7,,1,,,8,1,,2,,1,,2,,,,1,2,1,13,,,,,1,,4,,,3,,,,,1,1,1,,6,,1,1,,,,,1,1,8,,1,
Teucrium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Tilletia,FUNG,spore,NISP,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Trichuris,NEMA,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha angustifolia-type,AQVP,pollen,NISP,,3,,3,3,6,4,2,,,9,16,6,3,,,,,,,2,2,4,3,,,,,2,11,4,2,,,,2,4,8,3,4,,,,4,6,,,,,,,4,,,1,23,,7,,,,,,1,11,,,,,,,,,3,21,,,,,1,,,,22,,,,,,,16,11,13,8,,2,,,,,6,13,5,,1,,,,,3,4,19,3,,,1,
Ulmus,TRSH,pollen,NISP,,2,,,,,,,,1,2,1,1,4,1,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,1,,3,3,,,,,,,2,1,,3,,,,,,,2,,3,,,,,,,,2,2,3,3,,,,,,2,,,,,,,,,1,1,2,,,,,,,,2,7,3,3,,,,,,1,4,1,,,,
Unknown (type 119, HdV),UNID,spore,NISP,,,,,,,,,25,17,18,11,32,13,12,27,21,,,,,,,,10,13,42,9,10,11,59,4,20,41,,,,,,,9,16,42,9,11,34,4,23,26,23,,12,21,27,13,18,35,15,11,20,,17,30,,12,28,9,10,38,,12,15,37,5,16,24,9,3,32,,14,49,13,17,29,4,6,15,,33,24,17,3,24,61,12,5,19,,16,26,7,19,30,18,7,27,,12,21,,18,27,3,7,29,35
Unknown (type 128, HdV),UNID,filament/cell,NISP,,,,,,,4,13,27,6,1,11,21,2,21,29,23,,,,,,,2,21,9,12,1,10,27,1,18,34,32,,,,,,9,42,20,12,6,3,18,5,20,12,42,,14,49,11,,6,31,12,2,54,,19,23,4,4,16,8,25,58,,16,16,45,5,14,13,24,2,67,,31,7,3,3,18,21,5,43,,29,17,6,10,13,39,2,5,39,,18,12,7,13,43,2,10,41,,37,13,3,10,22,16,1,21,24
Unknown (type 181, HdV),UNID,spore,NISP,,,27,22,17,6,2,,,,2,7,,21,4,3,,11,23,21,4,17,4,2,,,,2,,,5,8,12,,10,12,16,22,13,6,,,,12,,1,28,24,16,,3,,,,15,2,1,12,1,6,12,,,14,12,1,26,11,1,7,,,,6,,8,14,13,1,21,,,12,2,1,12,7,,36,,,,17,,,31,12,6,34,,,,,12,20,14,2,14,,,9,,2,13,9,4,
Unknown (type 222, HdV),UNID,spore,NISP,,,12,1,3,3,1,,,,,,,,,,,4,23,12,2,8,,,,,,,,,,,,,3,9,15,6,4,,,,,,,,,,,,18,,,,,,,,,,27,,,,,,,,,16,,,,,,,,,,55,,,,,,,,,24,,,,,,,,,,13,,,,,,,,,58,,,,,,,,,
Unknown (type 224, HdV),UNID,spore,NISP,,,11,5,4,,4,1,,,,1,,12,1,,,23,15,4,,7,11,1,2,3,,,,,,31,,,22,10,4,2,8,4,,,,10,,,22,2,,,10,2,,,5,,,1,1,,3,5,,5,,,21,1,,14,,,,1,,,13,,,4,,,9,,1,21,,,13,,,,,,4,12,,,7,,,,,1,1,1,,25,,,1,,,1,1,,
Unknown (type 304, HdV),UNID,filament/cell,NISP,,,,,,,,,1,1,1,2,,12,4,12,2,,,,,,,,,1,1,,1,2,1,2,45,16,,,,,,,,1,2,,,15,2,8,28,3,,,12,5,,,6,3,9,10,,1,2,,12,9,8,29,15,,,,1,,11,14,4,7,11,,1,1,,,5,4,8,12,,2,5,,,9,5,1,32,14,,1,13,1,,9,4,14,19,,1,,,9,2,,4,14,20
Unknown (type 988, HdV),UNID,non-pollen palynomorph,NISP,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Viola,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Vitis,TRSH,pollen,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygnema,ALGA,filament/cell,NISP,,,1,1,4,10,11,16,2,3,3,1,3,12,9,2,,,1,2,8,7,11,18,2,2,,6,6,,9,21,4,,,,4,8,12,34,7,4,,15,1,1,8,12,,,,6,4,,23,,,9,29,4,,11,2,16,1,6,8,12,,,3,5,6,5,,4,9,10,,,2,2,13,,6,9,12,,,4,,9,5,,5,8,6,2,,11,1,14,,1,1,13,5,,2,10,13,1,4,4,6,5,
