"name","group","element","units","context","S342169","S342170","S342171","S342172","S342173","S342174","S342175","S342176","S342177","S342178","S342179","S342180","S342181","S342182","S342183","S342184","S342185","S342186","S342187","S342188","S342189","S342190","S342191","S342192","S342193","S342194","S342195","S342196","S342197","S342198","S342199","S342200","S342201","S342202","S342203","S342204","S342205","S342206","S342207","S342208","S342209","S342210","S342211","S342212","S342213","S342214","S342215","S342216","S342217","S342218","S342219","S342220","S342221","S342222","S342223","S342224","S342225","S342226","S342227","S342228","S342229","S342230","S342231","S342232","S342233","S342234","S342235","S342236","S342237","S342238","S342239","S342240","S342241","S342242","S342243","S342244","S342245","S342246","S342247","S342248","S342249","S342250","S342251","S342252","S342253","S342254","S342255","S342256","S342257","S342258","S342259","S342260","S342261","S342262","S342263","S342264","S342265","S342266","S342267","S342268","S342269","S342270","S342271","S342272","S342273"
Peucedanum-type,UPHE,pollen,NISP,,,,,1,,1,2,,,,1,1,,,,,,,,1,,,1,1,,,,,,,1,,,,1,,,1,1,,,,,,,,1,,,,,1,,1,,1,,2,,1,,,,,,,,,,,,1,,,2,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,
Phyteuma,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,44,36,57,29,12,18,18,14,21,15,13,12,15,7,12,6,15,21,10,10,11,16,20,16,15,20,12,13,10,3,21,2,9,4,6,8,7,10,7,15,6,6,8,5,6,5,6,4,9,5,17,21,18,6,4,12,10,3,2,1,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Pimpinella major-type,UPHE,pollen,NISP,,,,,,,,,,,,2,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,
Pinus,TRSH,stomate,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,2,1,,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,
Pinus cembra,TRSH,pollen,NISP,,1,5,1,1,,1,1,1,,,1,1,2,2,1,1,,1,,,,,2,2,,,,,,,,,,,,1,,1,,,,,,1,,,1,2,2,1,2,2,,,,,1,,,,1,,1,,,,,,1,,2,2,3,5,5,3,4,2,,,,,2,,2,,,,,,,,,,,,,,,,,,,,
Pinus sylvestris-type,TRSH,pollen,NISP,,28,51,45,33,52,30,54,29,56,26,29,27,34,17,23,33,25,30,21,10,10,13,11,14,8,5,3,5,2,4,9,7,5,9,3,6,6,8,5,5,1,6,9,4,6,8,7,2,9,10,6,8,8,12,3,6,10,9,7,14,8,13,12,17,17,21,20,21,40,68,78,162,208,326,400,356,434,523,507,520,444,372,381,439,276,377,132,15,12,3,1,24,10,14,14,5,9,17,14,15,14,18,6,10,5
Pistacia,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago alpina-type,UPHE,pollen,NISP,,,,,,1,,,,,,,1,,1,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,1,1,,,1,,1,,1,,1,3,2,2,2,1,2,3,4,1,1,3,,,
Plantago atrata-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,1,,,,
Plantago lanceolata-type,UPHE,pollen,NISP,,4,8,14,15,18,22,21,33,7,13,8,13,6,13,6,4,3,14,11,13,11,12,5,4,3,6,3,3,4,1,2,,7,9,16,8,17,8,11,11,11,8,1,3,2,7,10,11,2,1,2,,1,1,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago major,UPHE,pollen,NISP,,,,1,1,1,1,,1,,1,,,1,1,1,1,,,,,,1,,,,,,2,,,,1,1,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
Plantago media,UPHE,pollen,NISP,,1,,,1,1,1,1,2,3,1,4,,,1,1,2,1,,,1,,,1,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Platanus,TRSH,pollen,NISP,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,76,125,120,163,124,119,164,126,119,87,48,49,45,54,36,56,41,68,90,69,94,79,83,67,37,34,50,55,13,6,20,16,47,57,71,58,121,45,62,63,51,16,11,10,21,8,55,20,11,15,17,5,12,10,17,19,6,11,14,13,8,15,16,7,3,3,3,4,11,5,10,6,17,72,61,73,71,82,76,20,75,22,48,30,31,51,83,60,53,46,84,108,92,112,155,92,100,103,141,145,112,96,50,34,40
Poaceae (Cerealia),UPHE,pollen,NISP,,4,3,5,9,10,11,13,8,17,13,12,9,3,6,7,1,6,8,9,5,15,7,9,14,7,6,3,7,1,,1,,1,3,1,,1,1,,1,,,,,,,,,1,,1,,1,,1,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podospora-type,FUNG,spore,NISP,,,,,,,1,,1,1,2,1,,1,1,,1,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Polygonum aviculare,UPHE,pollen,NISP,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum-type,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Populus,TRSH,pollen,NISP,,16,16,1,5,4,10,13,3,6,7,3,10,7,7,1,10,10,24,12,11,46,53,9,7,20,45,26,2,4,9,10,25,8,3,12,12,9,7,23,13,4,2,9,15,7,7,2,4,9,10,3,10,3,14,10,6,6,10,28,8,2,1,2,,,,,,3,18,31,33,33,6,14,3,,,5,,13,,50,,15,,34,,23,,,,,2,,,,,,,,,,,
Potamogeton-type,AQVP,pollen,NISP,,1,,,1,1,,3,2,,,,,2,1,,,,1,,,,,,,,,1,,,,1,,,2,2,1,1,,,,,,1,,,2,,,1,1,,,,1,,1,,1,,2,,,,,,,,,,,1,,1,,1,,3,,,,,,1,1,,1,,,,,2,,2,,2,1,1,6,7,,1,1,,,
Potentilla-type,UPHE,pollen,NISP,,,,2,3,2,,1,,1,1,,1,1,1,1,1,1,,1,1,2,,1,,,,,1,,,,,,,2,1,,1,,,,1,,,,1,,,1,1,1,,,,,,,,,,,,1,,,1,,,,,,,,1,2,1,,1,,,,,,,,,,,,,1,,2,,,,,5,,1,,1,,,
Primula hirsuta-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Primula veris-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Prunella-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus-type,TRSH,pollen,NISP,,2,,,,,,1,2,1,,1,1,2,,,2,,1,,1,,,,2,1,,,,,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
Pseudopediastrum boryanum var. boryanum sensu lato,ALGA,colony,NISP,,2,15,17,2,15,15,15,14,29,27,3,1,3,6,2,,4,15,13,6,5,13,6,9,7,10,9,7,4,3,3,1,,2,2,1,2,3,2,1,1,1,1,3,1,,1,9,4,2,2,3,4,1,3,3,10,4,1,,16,2,6,,,,,,30,15,,,2,2,2,2,2,31,11,,10,,,,,,,,1,,,,1,,,,2,1,,,,1,,,
Pseudopediastrum boryanum var. longicorne,ALGA,colony,NISP,,,,5,7,19,19,20,9,6,1,8,7,6,9,4,3,18,5,16,10,14,21,44,46,16,17,17,35,6,3,7,5,2,4,8,16,14,4,1,4,1,4,11,4,5,2,2,5,1,2,2,4,1,4,6,1,6,8,12,14,8,11,1,,,,,,6,9,5,2,3,5,17,8,10,11,9,,15,,6,,8,,2,,5,,6,,9,,15,27,25,21,16,12,10,10,,4,4
Pseudopediastrum integrum,ALGA,colony,NISP,,1,4,6,45,21,37,22,18,29,6,8,8,17,29,10,13,24,16,25,7,22,22,24,25,20,11,38,18,24,11,11,12,5,6,8,10,8,5,6,7,4,11,11,6,17,12,17,30,35,6,7,7,11,3,2,9,8,5,14,2,8,11,17,,,,,,8,7,2,1,4,10,38,14,3,12,10,,11,,3,,4,,2,,3,,1,,,,1,1,9,4,3,5,4,8,,,
Pseudopediastrum kawraiskyi,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Pteridium aquilinum,VACR,spore,NISP,,,1,,1,1,1,3,4,2,1,1,3,,2,6,1,1,1,4,8,5,6,7,5,3,1,5,4,2,1,,,1,,1,4,8,5,5,6,3,3,,,2,2,1,,1,2,2,,5,1,2,,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteridophyta (monolete) undiff.,VACR,spore,NISP,,6,10,6,29,34,29,44,62,36,24,17,,13,27,20,10,8,10,15,11,18,10,17,15,11,6,2,11,3,3,1,,4,5,10,8,13,8,7,4,1,4,10,5,10,7,3,8,6,7,4,9,6,4,2,4,10,8,16,9,1,17,8,,,,,2,1,1,2,3,6,,,,,,1,,1,,4,2,2,3,,,,,,,,,,,,,,,1,,,,
Quercus,TRSH,pollen,NISP,,40,59,51,70,103,126,142,155,108,94,109,98,113,213,222,184,119,150,128,73,90,92,129,148,119,81,22,36,44,68,85,48,172,250,162,100,172,99,40,52,32,49,59,64,58,48,67,39,36,44,72,79,89,94,58,76,58,40,67,60,40,81,83,69,47,74,49,45,106,198,39,7,6,2,1,2,1,2,1,2,1,1,2,,1,,1,1,,,,1,,,,1,,,,,,,,,
Ranunculus acris-type,UPHE,pollen,NISP,,,2,1,1,2,2,2,2,,1,1,1,,1,2,1,2,,1,4,2,1,2,2,,,1,1,,,,,1,2,,1,1,,,,,1,,,,2,2,,1,3,1,,,,,1,,1,1,,,,,1,,1,,,,,1,,,1,2,,,1,2,,1,1,1,,,1,1,1,,1,,1,,3,1,1,,,,,,,2,,1
Ranunculus sect. Batrachium,AQVP,pollen,NISP,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,
Rhamnus,TRSH,pollen,NISP,,,,,2,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Rhinanthus,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchospora,AQVP,pollen,NISP,,,,,2,2,3,4,11,4,5,2,2,4,12,9,4,1,2,1,2,,,2,1,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchospora alba,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
Rosa,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,3,1,2
Rubiaceae,TRSH,pollen,NISP,,1,1,3,,1,1,3,2,1,1,1,1,,1,,1,,1,2,1,2,1,1,2,1,,1,,,,1,,,,2,1,1,1,,1,,,,,,,1,,,,,1,,1,,,,2,,,,,,,1,,,,1,,1,1,1,1,5,2,4,2,6,1,4,,1,3,3,1,3,1,2,,2,2,2,1,2,1,,2,8,1,5,2,1,1,1
Rubus,TRSH,pollen,NISP,,1,,,,,2,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,2,,1,,,,2,,,,,,,,,,,,,,,,
Rumex acetosa-type,UPHE,pollen,NISP,,4,7,12,13,24,11,14,15,10,14,5,5,3,3,6,7,1,6,3,2,6,3,4,5,3,1,5,5,1,,1,2,7,13,12,8,8,3,2,2,3,2,,1,2,1,2,2,,1,1,,1,1,1,1,,,,,,,,,,,,,1,1,,3,2,3,2,5,4,6,5,,3,1,3,1,1,5,5,4,2,3,2,1,4,1,,2,3,2,1,5,5,1,,2,1
Rumex acetosella,UPHE,pollen,NISP,,,,1,1,2,,,5,3,4,3,1,2,1,4,3,4,4,2,3,9,4,7,10,4,3,9,3,5,,,,10,4,3,2,3,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,,1,,2,1,3,,2,,,,1,,,,1,,1,,1,,,,,,,,
Rumex alpinus,UPHE,pollen,NISP,,,,,1,2,2,1,1,1,,1,2,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,
Rumex obtusifolius-type,UPHE,pollen,NISP,,1,3,1,1,1,1,1,1,1,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,26,30,4,8,4,5,9,14,9,9,9,9,8,5,8,7,12,9,7,10,30,28,21,16,6,11,23,6,2,3,5,10,24,11,7,7,2,15,11,13,8,4,5,1,5,6,5,16,1,8,2,1,2,5,7,32,17,3,2,21,4,,,,1,,4,,,4,2,5,14,10,9,7,4,7,3,3,6,5,5,7,10,6,23,14,24,13,14,13,12,14,11,8,22,17,10,22,6,12,,,
Sambucus nigra,TRSH,pollen,NISP,,1,2,2,1,1,,,,1,,,,,,,,,,4,4,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,1,1,1,,,,5,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus racemosa,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample quantity,LABO,volume,ml,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Sanguisorba minor-type,UPHE,pollen,NISP,,,,1,,1,,,,1,1,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,1,1,1,3,,,,,,,,,,,,,,,,,
Sanguisorba officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,
Saussurea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
Saxifraga granulata-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,
Saxifraga oppositifolia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,1,2,4,1,,,2,2
Scilla-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scleranthus,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia-type,UPHE,pollen,NISP,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Secale,UPHE,pollen,NISP,,,2,9,14,9,5,15,14,11,12,17,13,17,11,10,5,5,13,17,13,23,18,5,13,4,8,10,8,1,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Selaginella selaginoides,VACR,spore,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,2,6,4,3,3,2,5,5,2,3,1,,,
Senecio,UPHE,pollen,NISP,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,
Seseli-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,
Silene dioica-type,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
Silene vulgaris-type,UPHE,pollen,NISP,,,1,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silenoideae-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Sison amomum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum dulcamara,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorbus-type,TRSH,pollen,NISP,,,,1,2,,,1,2,,,,,,,2,1,,3,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,1,,,1,,1,1,,1,,,1,,1,1,1,,1,,,,,1,,,1,,,1,2,1,,,,,,1,,,,,,,,,,,
Sparganium-type,AQVP,pollen,NISP,,,1,,,,,2,1,2,,,,2,1,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Sphagnum,AQBR,spore,NISP,,,2,,1,1,4,2,4,2,3,1,,1,4,2,3,,1,,2,,1,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,1,2,,,,,,,,,1,,,,,1,,,1,,,,,,1,1,3,,3,,,,,,,,,,,,,,,1,,,,,
Sporormiella,FUNG,spore,NISP,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,2,1,1,3,3,4,4,4,2,2,1,,
Stachys-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stauridium tetras,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Succisa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphytum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxus baccata,TRSH,pollen,NISP,,6,2,,,1,3,1,,,1,1,,,,,,,,,1,,,,,1,,,,3,1,,2,3,1,,,,1,1,,2,4,10,7,6,4,2,1,4,4,4,6,5,6,6,13,6,6,8,15,14,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,1,,,,,,,2,1,,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,1,,,1,1,,,,,1,,1,,,1,,,,1,,,,,,,,1,,1,1,6,3,4,8,4,2,5,,2,1,1,2,1,2,2,6,1,13,15,15,12,22,19,9,16,24,6,15,15,5,4
Thelypteris palustris,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,5,,,1,,,1,,,2,,1,,1,1,,1,,2,1,1,,1,1,1,1,1,1,,1,1,,2,1,1,,1,4,,1,1,3,3,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilia cordata,TRSH,pollen,NISP,,1,1,2,2,4,1,4,1,1,1,,,,1,,1,1,,1,,,1,2,1,,,,,,1,1,,,,1,,,,1,1,,1,1,,,1,1,2,6,7,6,3,9,4,3,10,8,8,10,6,13,31,15,38,31,9,14,25,9,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilia platyphyllos,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,2,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia sphagni,FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Torilis nodosa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium pratense-type,UPHE,pollen,NISP,,1,,,1,1,1,3,2,1,1,1,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
